,High,Low,Open,Close,Day,Month,Year
1893,3435.836914,3275.885498,3304.969727,3405.004395,11,6,2020
1894,3432.387207,3376.949219,3402.395752,3425.247559,12,6,2020
1895,3425.951416,3333.850586,3425.951416,3348.530518,13,6,2020
1896,3353.276367,3203.606201,3348.530518,3336.53125,14,6,2020
1897,3358.582031,3324.460205,3336.125977,3352.391357,15,6,2020
1898,3413.771484,3308.694092,3352.787842,3363.338623,16,6,2020
1899,3363.759766,3295.767578,3363.338623,3328.022217,17,6,2020
1900,3326.366455,3248.623291,3327.734619,3254.43335,18,6,2020
1901,3338.601318,3250.727051,3251.874512,3305.292236,19,6,2020
1902,3336.482178,3282.010254,3304.570068,3285.518799,20,6,2020
1903,3359.274658,3284.591309,3287.181885,3349.010986,21,6,2020
1904,3351.983887,3306.091064,3349.540283,3340.508057,22,6,2020
1905,3369.317383,3232.735352,3341.177979,3245.175781,23,6,2020
1906,3256.686768,3198.172119,3246.615479,3215.24292,24,6,2020
1907,3294.497803,3156.074951,3215.30127,3276.264404,25,6,2020
1908,3286.165771,3082.192383,3273.248535,3142.763916,26,6,2020
1909,3177.760742,3083.975342,3142.763916,3131.29541,27,6,2020
1910,3170.606201,3100.375488,3132.752441,3160.215576,28,6,2020
1911,3167.529785,3100.995605,3152.130615,3133.202637,29,6,2020
1912,3185.968506,3119.01416,3130.614746,3146.427246,30,6,2020
1913,3133.042236,3040.49292,3149.254883,3106.866699,1,7,2020
1914,3115.346191,3065.24707,3105.827148,3077.176758,2,7,2020
1915,3149.449463,3071.878418,3074.78833,3141.505615,3,7,2020
1916,3148.363037,3060.282227,3138.191895,3106.525635,4,7,2020
1917,3293.737793,3098.88623,3106.525635,3280.017334,5,7,2020
1918,3299.517578,3228.177734,3280.017334,3244.694824,6,7,2020
1919,3400.934326,3230.787598,3244.706055,3387.350342,7,7,2020
1920,3428.82251,3293.55249,3386.431641,3346.4375,8,7,2020
1921,3349.720459,3277.598877,3344.026367,3325.480469,9,7,2020
1922,3361.710938,3307.369385,3325.821777,3359.515137,10,7,2020
1923,3397.531494,3313.132568,3360.318848,3354.792969,11,7,2020
1924,3406.105469,3251.940186,3354.792969,3303.297852,12,7,2020
1925,3314.287842,3251.727051,3307.015381,3299.549805,13,7,2020
1926,3315.089844,3230.085938,3298.608887,3252.450195,14,7,2020
1927,3261.845459,3121.662842,3251.313477,3160.255615,15,7,2020
1928,3174.279785,3132.869385,3160.694336,3139.166748,16,7,2020
